year,period,periodName,latest,value,footnotes,calculations
2020,M12,December,,262.035,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.5', '3': '0.8', '6': '2.0', '12': '1.3'}}"
2020,M11,November,,260.813,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.2', '3': '0.5', '6': '1.9', '12': '1.2'}}"
2020,M10,October,,260.286,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.1', '3': '0.8', '6': '1.6', '12': '1.2'}}"
2020,M09,September,,260.029,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.2', '3': '1.2', '6': '0.7', '12': '1.4'}}"
2020,M08,August,,259.411,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.4', '3': '1.4', '6': '0.1', '12': '1.3'}}"
2020,M07,July,,258.278,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.5', '3': '0.9', '6': '-0.3', '12': '1.0'}}"
2020,M06,June,,256.986,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.4', '3': '-0.4', '6': '-0.6', '12': '0.7'}}"
2020,M05,May,,255.868,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.1', '3': '-1.3', '6': '-0.8', '12': '0.2'}}"
2020,M04,April,,256.092,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.8', '3': '-1.1', '6': '-0.4', '12': '0.3'}}"
2020,M03,March,,258.124,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.4', '3': '-0.2', '6': '0.6', '12': '1.5'}}"
2020,M02,February,,259.248,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.1', '3': '0.6', '6': '1.2', '12': '2.3'}}"
2020,M01,January,,259.037,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.2', '3': '0.7', '6': '1.3', '12': '2.5'}}"
2019,M12,December,,258.616,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.3', '3': '0.8', '6': '1.4', '12': '2.3'}}"
2019,M11,November,,257.803,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.2', '3': '0.7', '6': '1.0', '12': '2.1'}}"
2019,M10,October,,257.244,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.3', '3': '0.6', '6': '0.8', '12': '1.8'}}"
2019,M09,September,,256.511,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.2', '3': '0.5', '6': '0.9', '12': '1.7'}}"
2019,M08,August,,256.059,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.1', '3': '0.3', '6': '1.1', '12': '1.7'}}"
2019,M07,July,,255.685,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.2', '3': '0.2', '6': '1.2', '12': '1.8'}}"
2019,M06,June,,255.159,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.1', '3': '0.4', '6': '0.9', '12': '1.6'}}"
2019,M05,May,,255.290,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.0', '3': '0.8', '6': '1.1', '12': '1.8'}}"
2019,M04,April,,255.211,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.4', '3': '1.0', '6': '1.0', '12': '2.0'}}"
2019,M03,March,,254.202,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.3', '3': '0.6', '6': '0.8', '12': '1.9'}}"
2019,M02,February,,253.322,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.2', '3': '0.3', '6': '0.7', '12': '1.5'}}"
2019,M01,January,,252.718,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.0', '3': '0.0', '6': '0.6', '12': '1.6'}}"
2018,M12,December,,252.767,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.1', '3': '0.2', '6': '0.7', '12': '2.0'}}"
2018,M11,November,,252.594,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.1', '3': '0.4', '6': '0.7', '12': '2.1'}}"
2018,M10,October,,252.772,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.2', '3': '0.6', '6': '1.0', '12': '2.5'}}"
2018,M09,September,,252.182,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.2', '3': '0.5', '6': '1.0', '12': '2.3'}}"
2018,M08,August,,251.663,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.2', '3': '0.3', '6': '0.9', '12': '2.6'}}"
2018,M07,July,,251.214,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.1', '3': '0.4', '6': '0.9', '12': '2.9'}}"
2018,M06,June,,251.018,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.1', '3': '0.6', '6': '1.3', '12': '2.8'}}"
2018,M05,May,,250.792,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.2', '3': '0.5', '6': '1.4', '12': '2.8'}}"
2018,M04,April,,250.227,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.3', '3': '0.5', '6': '1.5', '12': '2.5'}}"
2018,M03,March,,249.577,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.0', '3': '0.7', '6': '1.3', '12': '2.3'}}"
2018,M02,February,,249.529,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.3', '3': '0.9', '6': '1.8', '12': '2.3'}}"
2018,M01,January,,248.859,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.4', '3': '0.9', '6': '1.9', '12': '2.2'}}"
2017,M12,December,,247.805,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.2', '3': '0.6', '6': '1.5', '12': '2.1'}}"
2017,M11,November,,247.284,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.3', '3': '0.9', '6': '1.3', '12': '2.2'}}"
2017,M10,October,,246.626,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.1', '3': '1.0', '6': '1.0', '12': '2.0'}}"
2017,M09,September,,246.435,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.5', '3': '0.9', '6': '1.0', '12': '2.2'}}"
2017,M08,August,,245.183,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.4', '3': '0.5', '6': '0.5', '12': '1.9'}}"
2017,M07,July,,244.243,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.0', '3': '0.0', '6': '0.3', '12': '1.7'}}"
