year,period,periodName,latest,value,footnotes,calculations,DateTime,MonthOverMonth,3-Month,6-Month,YearOverYear
2017,M09,September,,4.3,[{}],"{'net_changes': {'1': '-0.1', '3': '0.0', '6': '-0.1', '12': '-0.7'}, 'pct_changes': {'1': '-2.3', '3': '0.0', '6': '-2.3', '12': '-14.0'}}",2017-09-01,-0.1,0.0,-0.1,-0.7
2017,M08,August,,4.4,[{}],"{'net_changes': {'1': '0.1', '3': '0.0', '6': '-0.2', '12': '-0.5'}, 'pct_changes': {'1': '2.3', '3': '0.0', '6': '-4.3', '12': '-10.2'}}",2017-08-01,0.1,0.0,-0.2,-0.5
2017,M07,July,,4.3,[{}],"{'net_changes': {'1': '0.0', '3': '-0.1', '6': '-0.4', '12': '-0.5'}, 'pct_changes': {'1': '0.0', '3': '-2.3', '6': '-8.5', '12': '-10.4'}}",2017-07-01,0.0,-0.1,-0.4,-0.5
2017,M06,June,,4.3,[{}],"{'net_changes': {'1': '-0.1', '3': '-0.1', '6': '-0.4', '12': '-0.6'}, 'pct_changes': {'1': '-2.3', '3': '-2.3', '6': '-8.5', '12': '-12.2'}}",2017-06-01,-0.1,-0.1,-0.4,-0.6
2017,M05,May,,4.4,[{}],"{'net_changes': {'1': '0.0', '3': '-0.2', '6': '-0.3', '12': '-0.4'}, 'pct_changes': {'1': '0.0', '3': '-4.3', '6': '-6.4', '12': '-8.3'}}",2017-05-01,0.0,-0.2,-0.3,-0.4
2017,M04,April,,4.4,[{}],"{'net_changes': {'1': '0.0', '3': '-0.3', '6': '-0.5', '12': '-0.7'}, 'pct_changes': {'1': '0.0', '3': '-6.4', '6': '-10.2', '12': '-13.7'}}",2017-04-01,0.0,-0.3,-0.5,-0.7
2017,M03,March,,4.4,[{}],"{'net_changes': {'1': '-0.2', '3': '-0.3', '6': '-0.6', '12': '-0.6'}, 'pct_changes': {'1': '-4.3', '3': '-6.4', '6': '-12.0', '12': '-12.0'}}",2017-03-01,-0.2,-0.3,-0.6,-0.6
2017,M02,February,,4.6,[{}],"{'net_changes': {'1': '-0.1', '3': '-0.1', '6': '-0.3', '12': '-0.3'}, 'pct_changes': {'1': '-2.1', '3': '-2.1', '6': '-6.1', '12': '-6.1'}}",2017-02-01,-0.1,-0.1,-0.3,-0.3
2017,M01,January,,4.7,[{}],"{'net_changes': {'1': '0.0', '3': '-0.2', '6': '-0.1', '12': '-0.1'}, 'pct_changes': {'1': '0.0', '3': '-4.1', '6': '-2.1', '12': '-2.1'}}",2017-01-01,0.0,-0.2,-0.1,-0.1
2016,M12,December,,4.7,[{}],"{'net_changes': {'1': '0.0', '3': '-0.3', '6': '-0.2', '12': '-0.3'}, 'pct_changes': {'1': '0.0', '3': '-6.0', '6': '-4.1', '12': '-6.0'}}",2016-12-01,0.0,-0.3,-0.2,-0.3
2016,M11,November,,4.7,[{}],"{'net_changes': {'1': '-0.2', '3': '-0.2', '6': '-0.1', '12': '-0.4'}, 'pct_changes': {'1': '-4.1', '3': '-4.1', '6': '-2.1', '12': '-7.8'}}",2016-11-01,-0.2,-0.2,-0.1,-0.4
2016,M10,October,,4.9,[{}],"{'net_changes': {'1': '-0.1', '3': '0.1', '6': '-0.2', '12': '-0.1'}, 'pct_changes': {'1': '-2.0', '3': '2.1', '6': '-3.9', '12': '-2.0'}}",2016-10-01,-0.1,0.1,-0.2,-0.1
2016,M09,September,,5.0,[{}],"{'net_changes': {'1': '0.1', '3': '0.1', '6': '0.0', '12': '0.0'}, 'pct_changes': {'1': '2.0', '3': '2.0', '6': '0.0', '12': '0.0'}}",2016-09-01,0.1,0.1,0.0,0.0
2016,M08,August,,4.9,[{}],"{'net_changes': {'1': '0.1', '3': '0.1', '6': '0.0', '12': '-0.2'}, 'pct_changes': {'1': '2.1', '3': '2.1', '6': '0.0', '12': '-3.9'}}",2016-08-01,0.1,0.1,0.0,-0.2
2016,M07,July,,4.8,[{}],"{'net_changes': {'1': '-0.1', '3': '-0.3', '6': '0.0', '12': '-0.4'}, 'pct_changes': {'1': '-2.0', '3': '-5.9', '6': '0.0', '12': '-7.7'}}",2016-07-01,-0.1,-0.3,0.0,-0.4
2016,M06,June,,4.9,[{}],"{'net_changes': {'1': '0.1', '3': '-0.1', '6': '-0.1', '12': '-0.4'}, 'pct_changes': {'1': '2.1', '3': '-2.0', '6': '-2.0', '12': '-7.5'}}",2016-06-01,0.1,-0.1,-0.1,-0.4
2016,M05,May,,4.8,[{}],"{'net_changes': {'1': '-0.3', '3': '-0.1', '6': '-0.3', '12': '-0.8'}, 'pct_changes': {'1': '-5.9', '3': '-2.0', '6': '-5.9', '12': '-14.3'}}",2016-05-01,-0.3,-0.1,-0.3,-0.8
