year,period,periodName,latest,value,footnotes,calculations,DateTime,MonthOverMonth,3-Month,6-Month,YearOverYear
2010,M04,April,,151.6,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.9', '3': '2.5', '6': '1.5', '12': '1.8'}}",2010-04-01,0.9,2.5,1.5,1.8
2010,M03,March,,150.3,[{}],"{'net_changes': {}, 'pct_changes': {'1': '1.1', '3': '1.1', '6': '-1.9', '12': '0.7'}}",2010-03-01,1.1,1.1,-1.9,0.7
2010,M02,February,,148.7,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.5', '3': '0.2', '6': '-2.9', '12': '-1.1'}}",2010-02-01,0.5,0.2,-2.9,-1.1
2010,M01,January,,147.9,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.5', '3': '-1.0', '6': '-3.7', '12': '-1.3'}}",2010-01-01,-0.5,-1.0,-3.7,-1.3
2009,M12,December,,148.6,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.1', '3': '-3.0', '6': '-2.5', '12': '0.5'}}",2009-12-01,0.1,-3.0,-2.5,0.5
2009,M11,November,,148.4,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.7', '3': '-3.1', '6': '-0.9', '12': '0.6'}}",2009-11-01,-0.7,-3.1,-0.9,0.6
2009,M10,October,,149.4,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-2.5', '3': '-2.7', '6': '0.3', '12': '0.3'}}",2009-10-01,-2.5,-2.7,0.3,0.3
2009,M09,September,,153.2,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.1', '3': '0.5', '6': '2.6', '12': '1.1'}}",2009-09-01,0.1,0.5,2.6,1.1
2009,M08,August,,153.1,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.3', '3': '2.3', '6': '1.8', '12': '0.9'}}",2009-08-01,-0.3,2.3,1.8,0.9
2009,M07,July,,153.6,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.8', '3': '3.2', '6': '2.5', '12': '1.2'}}",2009-07-01,0.8,3.2,2.5,1.2
2009,M06,June,,152.4,[{}],"{'net_changes': {}, 'pct_changes': {'1': '1.8', '3': '2.1', '6': '3.1', '12': '2.3'}}",2009-06-01,1.8,2.1,3.1,2.3
2009,M05,May,,149.7,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.5', '3': '-0.5', '6': '1.5', '12': '4.2'}}",2009-05-01,0.5,-0.5,1.5,4.2
2009,M04,April,,148.9,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.3', '3': '-0.7', '6': '0.0', '12': '4.8'}}",2009-04-01,-0.3,-0.7,0.0,4.8
2009,M03,March,,149.3,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.7', '3': '1.0', '6': '-1.5', '12': '6.1'}}",2009-03-01,-0.7,1.0,-1.5,6.1
2009,M02,February,,150.4,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.3', '3': '2.0', '6': '-0.9', '12': '7.6'}}",2009-02-01,0.3,2.0,-0.9,7.6
2009,M01,January,,149.9,[{}],"{'net_changes': {}, 'pct_changes': {'1': '1.4', '3': '0.7', '6': '-1.3', '12': '6.8'}}",2009-01-01,1.4,0.7,-1.3,6.8
2008,M12,December,,147.8,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.2', '3': '-2.5', '6': '-0.8', '12': '6.6'}}",2008-12-01,0.2,-2.5,-0.8,6.6
2008,M11,November,,147.5,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.9', '3': '-2.8', '6': '2.7', '12': '6.8'}}",2008-11-01,-0.9,-2.8,2.7,6.8
2008,M10,October,,148.9,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-1.8', '3': '-1.9', '6': '4.8', '12': '6.7'}}",2008-10-01,-1.8,-1.9,4.8,6.7
2008,M09,September,,151.6,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.1', '3': '1.7', '6': '7.7', '12': '5.9'}}",2008-09-01,-0.1,1.7,7.7,5.9
2008,M08,August,,151.8,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.0', '3': '5.7', '6': '8.6', '12': '6.2'}}",2008-08-01,0.0,5.7,8.6,6.2
2008,M07,July,,151.8,[{}],"{'net_changes': {}, 'pct_changes': {'1': '1.9', '3': '6.8', '6': '8.1', '12': '6.0'}}",2008-07-01,1.9,6.8,8.1,6.0
2008,M06,June,,149.0,[{}],"{'net_changes': {}, 'pct_changes': {'1': '3.8', '3': '5.9', '6': '7.4', '12': '4.9'}}",2008-06-01,3.8,5.9,7.4,4.9
2008,M05,May,,143.6,[{}],"{'net_changes': {}, 'pct_changes': {'1': '1.1', '3': '2.7', '6': '4.0', '12': '4.8'}}",2008-05-01,1.1,2.7,4.0,4.8
2008,M04,April,,142.1,[{}],"{'net_changes': {}, 'pct_changes': {'1': '1.0', '3': '1.2', '6': '1.8', '12': '4.8'}}",2008-04-01,1.0,1.2,1.8,4.8
2008,M03,March,,140.7,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.6', '3': '1.4', '6': '-1.7', '12': '4.1'}}",2008-03-01,0.6,1.4,-1.7,4.1
2008,M02,February,,139.8,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.4', '3': '1.2', '6': '-2.2', '12': '3.2'}}",2008-02-01,-0.4,1.2,-2.2,3.2
2008,M01,January,,140.4,[{}],"{'net_changes': {}, 'pct_changes': {'1': '1.2', '3': '0.6', '6': '-2.0', '12': '4.2'}}",2008-01-01,1.2,0.6,-2.0,4.2
