year,period,periodName,latest,value,footnotes,calculations
2020,M03,March,,192.3,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-1.4', '3': '-2.1', '6': '-1.8', '12': '-2.6'}}"
2020,M02,February,,195.1,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.8', '3': '-0.7', '6': '-0.7', '12': '-0.2'}}"
2020,M01,January,,196.6,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.1', '3': '0.0', '6': '-0.5', '12': '1.2'}}"
2019,M12,December,,196.4,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.1', '3': '0.3', '6': '-0.3', '12': '0.6'}}"
2019,M11,November,,196.5,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.1', '3': '0.1', '6': '-1.3', '12': '-1.0'}}"
2019,M10,October,,196.6,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.4', '3': '-0.5', '6': '-1.3', '12': '-1.9'}}"
2019,M09,September,,195.9,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.3', '3': '-0.6', '6': '-0.8', '12': '-1.5'}}"
2019,M08,August,,196.4,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.6', '3': '-1.4', '6': '0.5', '12': '-1.1'}}"
2019,M07,July,,197.5,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.3', '3': '-0.9', '6': '1.6', '12': '-0.5'}}"
2019,M06,June,,197.0,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-1.1', '3': '-0.2', '6': '0.9', '12': '-0.7'}}"
2019,M05,May,,199.1,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.1', '3': '1.9', '6': '0.4', '12': '0.7'}}"
2019,M04,April,,199.2,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.9', '3': '2.5', '6': '-0.6', '12': '2.0'}}"
2019,M03,March,,197.4,[{}],"{'net_changes': {}, 'pct_changes': {'1': '1.0', '3': '1.1', '6': '-0.8', '12': '1.8'}}"
2019,M02,February,,195.4,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.6', '3': '-1.5', '6': '-1.6', '12': '1.0'}}"
2019,M01,January,,194.3,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.5', '3': '-3.0', '6': '-2.1', '12': '0.9'}}"
2018,M12,December,,195.2,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-1.6', '3': '-1.9', '6': '-1.6', '12': '2.0'}}"
2018,M11,November,,198.4,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-1.0', '3': '-0.1', '6': '0.4', '12': '3.8'}}"
2018,M10,October,,200.4,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.8', '3': '1.0', '6': '2.6', '12': '5.4'}}"
2018,M09,September,,198.9,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.2', '3': '0.3', '6': '2.5', '12': '4.9'}}"
2018,M08,August,,198.6,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.1', '3': '0.5', '6': '2.6', '12': '5.4'}}"
2018,M07,July,,198.5,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.1', '3': '1.6', '6': '3.1', '12': '6.0'}}"
2018,M06,June,,198.4,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.4', '3': '2.3', '6': '3.7', '12': '5.8'}}"
2018,M05,May,,197.7,[{}],"{'net_changes': {}, 'pct_changes': {'1': '1.2', '3': '2.2', '6': '3.4', '12': '5.6'}}"
2018,M04,April,,195.3,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.7', '3': '1.4', '6': '2.7', '12': '4.1'}}"
2018,M03,March,,194.0,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.3', '3': '1.4', '6': '2.3', '12': '3.9'}}"
2018,M02,February,,193.5,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.5', '3': '1.2', '6': '2.7', '12': '3.9'}}"
